1,100.000000
3,100.000000
5,100.000000
7,100.000000
9,100.000000
11,100.000000
13,100.000000
15,100.000000
17,100.000000
19,100.000000
21,100.000000
23,100.000000
25,100.000000
27,100.000000
29,100.000000
31,100.000000
33,100.000000
35,100.000000
37,100.000000
39,100.000000
41,100.000000
43,100.000000
45,100.000000
47,96.666664
49,100.000000
51,93.333336
53,90.000000
55,93.333336
57,86.666664
59,86.666664
61,86.666664
63,86.666664
65,86.666664
67,86.666664
69,86.666664
71,86.666664
73,90.000000
75,86.666664
77,86.666664
79,86.666664
81,63.333332
83,63.333332
85,63.333332
87,63.333332
89,63.333332
91,63.333332
93,63.333332
95,63.333332
97,63.333332
99,60.000004
101,60.000004
103,60.000004
105,60.000004
107,60.000004
109,60.000004
111,60.000004
113,60.000004
115,60.000004
117,60.000004
119,53.333336
